Entity,INDICATOR,SUBJECT,MEASURE,TIME,Value
TUR,ENROLMENT_ECE,AGE_3,PC_AGE,2015,9.106
TUR,ENROLMENT_ECE,AGE_3,PC_AGE,2016,8.975
TUR,ENROLMENT_ECE,AGE_3,PC_AGE,2017,10.119
TUR,ENROLMENT_ECE,AGE_3,PC_AGE,2018,10.411
TUR,ENROLMENT_ECE,AGE_4,PC_AGE,2015,32.364
TUR,ENROLMENT_ECE,AGE_4,PC_AGE,2016,33.56
TUR,ENROLMENT_ECE,AGE_4,PC_AGE,2017,36.615
TUR,ENROLMENT_ECE,AGE_4,PC_AGE,2018,39.306
TUR,ENROLMENT_ECE,AGE_5,PC_AGE,2015,51.352
TUR,ENROLMENT_ECE,AGE_5,PC_AGE,2016,54.668
TUR,ENROLMENT_ECE,AGE_5,PC_AGE,2017,58.919
TUR,ENROLMENT_ECE,AGE_5,PC_AGE,2018,66.773
FIN,ENROLMENT_ECE,AGE_3,PC_AGE,2015,68.373
FIN,ENROLMENT_ECE,AGE_3,PC_AGE,2016,72.974
FIN,ENROLMENT_ECE,AGE_3,PC_AGE,2017,73.496
FIN,ENROLMENT_ECE,AGE_3,PC_AGE,2018,77.405
FIN,ENROLMENT_ECE,AGE_4,PC_AGE,2015,74.472
FIN,ENROLMENT_ECE,AGE_4,PC_AGE,2016,79.271
FIN,ENROLMENT_ECE,AGE_4,PC_AGE,2017,79.734
FIN,ENROLMENT_ECE,AGE_4,PC_AGE,2018,82.608
FIN,ENROLMENT_ECE,AGE_5,PC_AGE,2015,78.819
FIN,ENROLMENT_ECE,AGE_5,PC_AGE,2016,84.451
FIN,ENROLMENT_ECE,AGE_5,PC_AGE,2017,85.005
FIN,ENROLMENT_ECE,AGE_5,PC_AGE,2018,86.727
KOR,ENROLMENT_ECE,AGE_3,PC_AGE,2015,92.348
KOR,ENROLMENT_ECE,AGE_3,PC_AGE,2016,96.709
KOR,ENROLMENT_ECE,AGE_3,PC_AGE,2017,93.7
KOR,ENROLMENT_ECE,AGE_3,PC_AGE,2018,92.251
KOR,ENROLMENT_ECE,AGE_4,PC_AGE,2015,90.626
KOR,ENROLMENT_ECE,AGE_4,PC_AGE,2016,92.991
KOR,ENROLMENT_ECE,AGE_4,PC_AGE,2017,97.481
KOR,ENROLMENT_ECE,AGE_4,PC_AGE,2018,93.804
KOR,ENROLMENT_ECE,AGE_5,PC_AGE,2015,92.385
KOR,ENROLMENT_ECE,AGE_5,PC_AGE,2016,89.905
KOR,ENROLMENT_ECE,AGE_5,PC_AGE,2017,92.491
KOR,ENROLMENT_ECE,AGE_5,PC_AGE,2018,96.841
